fuel,date,value
FC,2012-02-01,0
FC,2012-03-01,0
FC,2012-04-01,0
FC,2012-05-01,0
FC,2012-06-01,0
FC,2012-07-01,0
FC,2012-08-01,0
FC,2012-09-01,0
FC,2012-10-01,0
FC,2012-11-01,0
FC,2012-12-01,0
FC,2013-01-01,0
FC,2013-02-01,0
FC,2013-03-01,0
FC,2013-04-01,0
FC,2013-05-01,0
FC,2013-06-01,0
FC,2013-07-01,0
FC,2013-08-01,0
FC,2013-09-01,0
FC,2013-10-01,0
FC,2013-11-01,0
FC,2013-12-01,0
FC,2014-01-01,0
FC,2014-02-01,0
FC,2014-03-01,0
FC,2014-04-01,0
FC,2014-05-01,0
FC,2014-06-01,0
FC,2014-07-01,0
FC,2014-08-01,0
FC,2014-09-01,0
FC,2014-10-01,0
FC,2014-11-01,0
FC,2014-12-01,0
FC,2015-01-01,0
FC,2015-02-01,0
FC,2015-03-01,0
FC,2015-04-01,0
FC,2015-05-01,0
FC,2015-06-01,0
FC,2015-07-01,0
FC,2015-08-01,0
FC,2015-09-01,0
FC,2015-10-01,3
FC,2015-11-01,1
FC,2015-12-01,11
FC,2016-01-01,0
FC,2016-02-01,0
FC,2016-03-01,0
FC,2016-04-01,0
FC,2016-05-01,0
FC,2016-06-01,0
FC,2016-07-01,0
FC,2016-08-01,0
FC,2016-09-01,0
FC,2016-10-01,10
FC,2016-11-01,0
FC,2016-12-01,0
FC,2017-01-01,0
FC,2017-02-01,0
FC,2017-03-01,0
FC,2017-04-01,0
FC,2017-05-01,0
FC,2017-06-01,0
FC,2017-07-01,1
FC,2017-08-01,0
FC,2017-09-01,0
FC,2017-10-01,0
FC,2017-11-01,0
FC,2017-12-01,1
FC,2018-01-01,20
FC,2018-02-01,0
FC,2018-03-01,0
FC,2018-04-01,2
FC,2018-05-01,1
FC,2018-06-01,1
FC,2018-07-01,0
FC,2018-08-01,0
FC,2018-09-01,1
FC,2018-10-01,0
FC,2018-11-01,1
FC,2018-12-01,3
FC,2019-01-01,0
FC,2019-02-01,0
FC,2019-03-01,1
FC,2019-04-01,0
FC,2019-05-01,1
FC,2019-06-01,3
FC,2019-07-01,2
FC,2019-08-01,2
FC,2019-09-01,4
FC,2019-10-01,4
FC,2019-11-01,0
FC,2019-12-01,0
FC,2020-01-01,10
FC,2020-02-01,5
FC,2020-03-01,1
FC,2020-04-01,1
FC,2020-05-01,2
FC,2020-06-01,0
FC,2020-07-01,4
FC,2020-08-01,5
FC,2020-09-01,3
FC,2020-10-01,4
FC,2020-11-01,3
FC,2020-12-01,4
FC,2021-01-01,2
FC,2021-02-01,3
FC,2021-03-01,10
FC,2021-04-01,5
FC,2021-05-01,2
FC,2021-06-01,9
FC,2021-07-01,9
FC,2021-08-01,11
FC,2021-09-01,5
FC,2021-10-01,3
FC,2021-11-01,3
FC,2021-12-01,4
FC,2022-01-01,8
FC,2022-02-01,4
FC,2022-03-01,6
FC,2022-04-01,9
FC,2022-05-01,10
FC,2022-06-01,10
FC,2022-07-01,10
FC,2022-08-01,5
FC,2022-09-01,4
FC,2022-10-01,1
FC,2022-11-01,0
FC,2022-12-01,5
FC,2023-01-01,7
FC,2023-02-01,3
FC,2023-03-01,7
FC,2023-04-01,2
FC,2023-05-01,1
FC,2023-06-01,1
FC,2023-07-01,2
FC,2023-08-01,1
FC,2023-09-01,0
FC,2023-10-01,1
FC,2023-11-01,1
FC,2023-12-01,1
FC,2024-01-01,6
FC,2024-02-01,1
FC,2024-03-01,0
FC,2024-04-01,1
FC,2024-05-01,0
FC,2024-06-01,0
FC,2024-07-01,1
FC,2024-08-01,0
FC,2024-09-01,1
FC,2024-10-01,0
FC,2024-11-01,1
FC,2024-12-01,1
FC,2025-01-01,1
FC,2025-02-01,1
FC,2025-03-01,0
FC,2025-04-01,1
FC,2025-05-01,0
FC,2025-06-01,0
FC,2025-07-01,0
FC,2025-08-01,0
FC,2025-09-01,0
FC,2025-10-01,1
FC,2025-11-01,0
FC,2025-12-01,0
FC,2026-01-01,0
FC,2026-02-01,0
FC,2026-03-01,0
FC,2026-04-01,1
FC,2026-05-01,0
FC,2026-06-01,0
FC,2026-07-01,0
GA,2005-01-01,33
GA,2005-02-01,42
GA,2005-03-01,42
GA,2005-04-01,46
GA,2005-05-01,41
GA,2005-06-01,33
GA,2005-07-01,28
GA,2005-08-01,23
GA,2005-09-01,30
GA,2005-10-01,32
GA,2005-11-01,37
GA,2005-12-01,55
GA,2006-01-01,60
GA,2006-02-01,52
GA,2006-03-01,85
GA,2006-04-01,55
GA,2006-05-01,56
GA,2006-06-01,98
GA,2006-07-01,127
GA,2006-08-01,75
GA,2006-09-01,64
GA,2006-10-01,184
GA,2006-11-01,142
GA,2006-12-01,74
GA,2007-01-01,160
GA,2007-02-01,119
GA,2007-03-01,126
GA,2007-04-01,103
GA,2007-05-01,158
GA,2007-06-01,242
GA,2007-07-01,122
GA,2007-08-01,109
GA,2007-09-01,127
GA,2007-10-01,143
GA,2007-11-01,123
GA,2007-12-01,93
GA,2008-01-01,89
GA,2008-02-01,93
GA,2008-03-01,81
GA,2008-04-01,92
GA,2008-05-01,78
GA,2008-06-01,116
GA,2008-07-01,90
GA,2008-08-01,94
GA,2008-09-01,96
GA,2008-10-01,114
GA,2008-11-01,82
GA,2008-12-01,102
GA,2009-01-01,80
GA,2009-02-01,57
GA,2009-03-01,78
GA,2009-04-01,98
GA,2009-05-01,94
GA,2009-06-01,127
GA,2009-07-01,90
GA,2009-08-01,84
GA,2009-09-01,105
GA,2009-10-01,99
GA,2009-11-01,73
GA,2009-12-01,71
GA,2010-01-01,76
GA,2010-02-01,52
GA,2010-03-01,104
GA,2010-04-01,48
GA,2010-05-01,70
GA,2010-06-01,62
GA,2010-07-01,50
GA,2010-08-01,49
GA,2010-09-01,47
GA,2010-10-01,28
GA,2010-11-01,48
GA,2010-12-01,67
GA,2011-01-01,35
GA,2011-02-01,46
GA,2011-03-01,93
GA,2011-04-01,45
GA,2011-05-01,104
GA,2011-06-01,50
GA,2011-07-01,60
GA,2011-08-01,47
GA,2011-09-01,40
GA,2011-10-01,28
GA,2011-11-01,41
GA,2011-12-01,49
GA,2012-01-01,42
GA,2012-02-01,36
GA,2012-03-01,56
GA,2012-04-01,39
GA,2012-05-01,44
GA,2012-06-01,34
GA,2012-07-01,27
GA,2012-08-01,23
GA,2012-09-01,31
GA,2012-10-01,39
GA,2012-11-01,62
GA,2012-12-01,44
GA,2013-01-01,48
