canton,fuel,date,value
1,EL,2018-01-01,42
1,EL,2018-02-01,207
1,EL,2018-03-01,139
1,EL,2018-04-01,57
1,EL,2018-05-01,63
1,EL,2018-06-01,123
1,EL,2018-07-01,56
1,EL,2018-08-01,69
1,EL,2018-09-01,138
1,EL,2018-10-01,74
1,EL,2018-11-01,107
1,EL,2018-12-01,204
1,EL,2019-01-01,71
1,EL,2019-02-01,167
1,EL,2019-03-01,456
1,EL,2019-04-01,223
1,EL,2019-05-01,150
1,EL,2019-06-01,269
1,EL,2019-07-01,163
1,EL,2019-08-01,133
1,EL,2019-09-01,379
1,EL,2019-10-01,150
1,EL,2019-11-01,166
1,EL,2019-12-01,645
1,EL,2020-01-01,161
1,EL,2020-02-01,178
1,EL,2020-03-01,359
1,EL,2020-04-01,95
1,EL,2020-05-01,139
1,EL,2020-06-01,323
1,EL,2020-07-01,206
1,EL,2020-08-01,332
1,EL,2020-09-01,643
1,EL,2020-10-01,327
1,EL,2020-11-01,489
1,EL,2020-12-01,1221
1,EL,2021-01-01,243
1,EL,2021-02-01,251
1,EL,2021-03-01,450
1,EL,2021-04-01,348
1,EL,2021-05-01,337
1,EL,2021-06-01,691
1,EL,2021-07-01,346
1,EL,2021-08-01,460
1,EL,2021-09-01,824
1,EL,2021-10-01,453
1,EL,2021-11-01,733
1,EL,2021-12-01,1106
1,EL,2022-01-01,436
1,EL,2022-02-01,485
1,EL,2022-03-01,798
1,EL,2022-04-01,367
1,EL,2022-05-01,482
1,EL,2022-06-01,856
1,EL,2022-07-01,347
1,EL,2022-08-01,434
1,EL,2022-09-01,733
1,EL,2022-10-01,445
1,EL,2022-11-01,867
1,EL,2022-12-01,1228
1,EL,2023-01-01,517
1,EL,2023-02-01,478
1,EL,2023-03-01,878
1,EL,2023-04-01,640
1,EL,2023-05-01,827
1,EL,2023-06-01,997
1,EL,2023-07-01,691
1,EL,2023-08-01,852
1,EL,2023-09-01,994
1,EL,2023-10-01,919
1,EL,2023-11-01,1001
1,EL,2023-12-01,1354
1,EL,2024-01-01,491
1,EL,2024-02-01,710
1,EL,2024-03-01,959
1,EL,2024-04-01,632
1,EL,2024-05-01,738
1,EL,2024-06-01,897
1,EL,2024-07-01,709
1,EL,2024-08-01,778
1,EL,2024-09-01,1008
1,EL,2024-10-01,715
1,EL,2024-11-01,940
1,EL,2024-12-01,1052
1,EL,2025-01-01,585
1,EL,2025-02-01,805
1,EL,2025-03-01,913
1,EL,2025-04-01,738
1,EL,2025-05-01,972
1,EL,2025-06-01,1111
1,EL,2025-07-01,794
1,EL,2025-08-01,700
1,EL,2025-09-01,1084
1,EL,2025-10-01,814
1,EL,2025-11-01,1023
1,EL,2025-12-01,2007
1,EL,2026-01-01,603
1,EL,2026-02-01,678
1,EL,2026-03-01,1106
1,EL,2026-04-01,898
1,EL,2026-05-01,974
1,EL,2026-06-01,1304
1,EL,2026-07-01,967
1,EL,2026-08-01,951
1,FC,2005-01-01,0
1,FC,2005-02-01,0
1,FC,2005-03-01,0
1,FC,2005-04-01,0
1,FC,2005-05-01,0
1,FC,2005-06-01,0
1,FC,2005-07-01,0
1,FC,2005-08-01,0
1,FC,2005-09-01,0
1,FC,2005-10-01,0
1,FC,2005-11-01,0
1,FC,2005-12-01,0
1,FC,2006-01-01,0
1,FC,2006-02-01,0
1,FC,2006-03-01,0
1,FC,2006-04-01,0
1,FC,2006-05-01,0
1,FC,2006-06-01,0
1,FC,2006-07-01,0
1,FC,2006-08-01,0
1,FC,2006-09-01,0
1,FC,2006-10-01,0
1,FC,2006-11-01,0
1,FC,2006-12-01,0
1,FC,2007-01-01,0
1,FC,2007-02-01,0
1,FC,2007-03-01,0
1,FC,2007-04-01,0
1,FC,2007-05-01,0
1,FC,2007-06-01,0
1,FC,2007-07-01,0
1,FC,2007-08-01,0
1,FC,2007-09-01,0
1,FC,2007-10-01,0
1,FC,2007-11-01,0
1,FC,2007-12-01,0
1,FC,2008-01-01,0
1,FC,2008-02-01,0
1,FC,2008-03-01,0
1,FC,2008-04-01,0
1,FC,2008-05-01,0
1,FC,2008-06-01,0
1,FC,2008-07-01,0
1,FC,2008-08-01,0
1,FC,2008-09-01,0
1,FC,2008-10-01,0
1,FC,2008-11-01,0
1,FC,2008-12-01,0
1,FC,2009-01-01,0
1,FC,2009-02-01,0
1,FC,2009-03-01,0
1,FC,2009-04-01,0
