Offene Stellen,Wirtschaftsabteilung,date,value
1,5-43,2016-10-01,11540
1,5-43,2017-01-01,13628
1,5-43,2017-04-01,13742
1,5-43,2017-07-01,14062
1,5-43,2017-10-01,15008
1,5-43,2018-01-01,18298
1,5-43,2018-04-01,19969
1,5-43,2018-07-01,19079
1,5-43,2018-10-01,20449
1,5-43,2019-01-01,20585
1,5-43,2019-04-01,21288
1,5-43,2019-07-01,19052
1,5-43,2019-10-01,18088
1,5-43,2020-01-01,15677
1,5-43,2020-04-01,13892
1,5-43,2020-07-01,16443
1,5-43,2020-10-01,14826
1,5-43,2021-01-01,18631
1,5-43,2021-04-01,21205
1,5-43,2021-07-01,24011
1,5-43,2021-10-01,24088
1,5-43,2022-01-01,28202
1,5-43,2022-04-01,30344
1,5-43,2022-07-01,29389
1,5-43,2022-10-01,28493
1,5-43,2023-01-01,31490
1,5-43,2023-04-01,31931
1,5-43,2023-07-01,27332
1,5-43,2023-10-01,26279
1,5-43,2024-01-01,25343
1,5-43,2024-04-01,23157
1,5-43,2024-07-01,23511
1,5-43,2024-10-01,21213
1,5-43,2025-01-01,20915
1,5-43,2025-04-01,19904
1,5-43,2025-07-01,20371
1,5-43,2025-10-01,19523
1,5-43,2026-01-01,22335
1,5-96,2003-04-01,36729
1,5-96,2003-07-01,29219
1,5-96,2003-10-01,29043
1,5-96,2004-01-01,40276
1,5-96,2004-04-01,39672
1,5-96,2004-07-01,31277
1,5-96,2004-10-01,30972
1,5-96,2005-01-01,35382
1,5-96,2005-04-01,35404
1,5-96,2005-07-01,36153
1,5-96,2005-10-01,40946
1,5-96,2006-01-01,50667
1,5-96,2006-04-01,52742
1,5-96,2006-07-01,51835
1,5-96,2006-10-01,56996
1,5-96,2007-01-01,65416
1,5-96,2007-04-01,72413
1,5-96,2007-07-01,72778
1,5-96,2007-10-01,69773
1,5-96,2008-01-01,78215
1,5-96,2008-04-01,76075
1,5-96,2008-07-01,73317
1,5-96,2008-10-01,52066
1,5-96,2009-01-01,49533
1,5-96,2009-04-01,49095
1,5-96,2009-07-01,44662
1,5-96,2009-10-01,46800
1,5-96,2010-01-01,51162
1,5-96,2010-04-01,56596
1,5-96,2010-07-01,57031
1,5-96,2010-10-01,56133
1,5-96,2011-01-01,64606
1,5-96,2011-04-01,64463
1,5-96,2011-07-01,55910
1,5-96,2011-10-01,51435
1,5-96,2012-01-01,58246
1,5-96,2012-04-01,55413
1,5-96,2012-07-01,53323
1,5-96,2012-10-01,51427
1,5-96,2013-01-01,57685
1,5-96,2013-04-01,57896
1,5-96,2013-07-01,57211
1,5-96,2013-10-01,55392
1,5-96,2014-01-01,61844
1,5-96,2014-04-01,59709
1,5-96,2014-07-01,57344
1,5-96,2014-10-01,55420
1,5-96,2015-01-01,57568
1,5-96,2015-04-01,53885
1,5-96,2015-07-01,49970
1,5-96,2015-10-01,50090
1,5-96,2016-01-01,52670
1,5-96,2016-04-01,54383
1,5-96,2016-07-01,54567
1,5-96,2016-10-01,53147
1,5-96,2017-01-01,59879
1,5-96,2017-04-01,60070
1,5-96,2017-07-01,58638
1,5-96,2017-10-01,62103
1,5-96,2018-01-01,70628
1,5-96,2018-04-01,74859
1,5-96,2018-07-01,74067
1,5-96,2018-10-01,76504
1,5-96,2019-01-01,80229
