flow,partner,level,date,value
export,Italy,country,1990-01-01,7850
export,Italy,country,1991-01-01,7635
export,Italy,country,1992-01-01,8058
export,Italy,country,1993-01-01,7255.242371
export,Italy,country,1994-01-01,7135.3842
export,Italy,country,1995-01-01,7299.657249
export,Italy,country,1996-01-01,7408.849029
export,Italy,country,1997-01-01,8242.652758
export,Italy,country,1998-01-01,8783.320982
export,Italy,country,1999-01-01,9588.063935
export,Italy,country,2000-01-01,10461.091189
export,Italy,country,2001-01-01,11038.661277
export,Italy,country,2002-01-01,12767.019519
export,Italy,country,2003-01-01,12782.593055
export,Italy,country,2004-01-01,13711.989811
export,Italy,country,2005-01-01,14816.187826
export,Italy,country,2006-01-01,16331.072653
export,Italy,country,2007-01-01,17973.181236
export,Italy,country,2008-01-01,18769.87968
export,Italy,country,2009-01-01,15808.096469
export,Italy,country,2010-01-01,15980.563662
export,Italy,country,2011-01-01,16289.604923
export,Italy,country,2012-01-01,16784.255487
export,Italy,country,2013-01-01,16830.796559
export,Italy,country,2014-01-01,16159.953203
export,Italy,country,2015-01-01,14935.948054
export,Italy,country,2016-01-01,14389.602468
export,Italy,country,2017-01-01,15849.379949
export,Italy,country,2018-01-01,16471.8759
export,Italy,country,2019-01-01,16062.974753
export,Italy,country,2020-01-01,14600.194085
export,Italy,country,2021-01-01,18478.290942
export,Italy,country,2022-01-01,24014.645545
export,Italy,country,2023-01-01,24307.794339
export,Italy,country,2024-01-01,24702.597395
export,Italy,country,2025-01-01,24363.91581
export,Japan,country,1990-01-01,4206
export,Japan,country,1991-01-01,3767
export,Japan,country,1992-01-01,3449
export,Japan,country,1993-01-01,3221.029997
export,Japan,country,1994-01-01,3713.071242
export,Japan,country,1995-01-01,3845.228347
export,Japan,country,1996-01-01,4109.078349
export,Japan,country,1997-01-01,4448.485209
export,Japan,country,1998-01-01,4387.178452
export,Japan,country,1999-01-01,4852.839376
export,Japan,country,2000-01-01,5767.229969
export,Japan,country,2001-01-01,5383.07171
export,Japan,country,2002-01-01,5182.525227
export,Japan,country,2003-01-01,5408.938459
export,Japan,country,2004-01-01,5722.286165
export,Japan,country,2005-01-01,5892.0913
export,Japan,country,2006-01-01,6726.368272
export,Japan,country,2007-01-01,6729.654456
export,Japan,country,2008-01-01,7057.980939
export,Japan,country,2009-01-01,7147.490061
export,Japan,country,2010-01-01,6734.61623
export,Japan,country,2011-01-01,6658.054905
export,Japan,country,2012-01-01,7170.550686
export,Japan,country,2013-01-01,6425.261099
export,Japan,country,2014-01-01,6394.424879
export,Japan,country,2015-01-01,6592.004028
export,Japan,country,2016-01-01,7510.953173
export,Japan,country,2017-01-01,7467.462308
export,Japan,country,2018-01-01,7764.933051
export,Japan,country,2019-01-01,8136.035299
export,Japan,country,2020-01-01,7056.824899
export,Japan,country,2021-01-01,7716.913971
export,Japan,country,2022-01-01,9378.142356
export,Japan,country,2023-01-01,7682.300912
export,Japan,country,2024-01-01,8170.331334
export,Japan,country,2025-01-01,8015.253982
export,Korea (South),country,1990-01-01,623
export,Korea (South),country,1991-01-01,663
export,Korea (South),country,1992-01-01,671
export,Korea (South),country,1993-01-01,616.294528
export,Korea (South),country,1994-01-01,917.750675
export,Korea (South),country,1995-01-01,974.739296
export,Korea (South),country,1996-01-01,1160.803899
export,Korea (South),country,1997-01-01,1172.775402
export,Korea (South),country,1998-01-01,551.983308
export,Korea (South),country,1999-01-01,711.662097
export,Korea (South),country,2000-01-01,1058.41008
export,Korea (South),country,2001-01-01,1058.473548
export,Korea (South),country,2002-01-01,1101.183164
export,Korea (South),country,2003-01-01,1105.004181
export,Korea (South),country,2004-01-01,1312.955798
export,Korea (South),country,2005-01-01,1289.238318
