sex,worktime,measure,date,value
_T,FT,volume,2013-01-01,5886070285
_T,FT,volume,2014-01-01,5898126702
_T,FT,volume,2015-01-01,6010265805.7
_T,FT,volume,2016-01-01,6069801086.6
_T,FT,volume,2017-01-01,6049596660.8
_T,FT,volume,2018-01-01,6038118204.4
_T,FT,volume,2019-01-01,6028445576.6
_T,FT,volume,2020-01-01,5800995154.8
_T,FT,volume,2021-01-01,5980999981.3
_T,FT,volume,2022-01-01,6053315753.7
_T,FT,volume,2023-01-01,6103036654.5
_T,FT,volume,2024-01-01,6049121988.9
_T,FT,volume,2025-01-01,6004812630.5
_T,FT,weekly,2010-01-01,41.50598775
_T,FT,weekly,2011-01-01,41.556795112
_T,FT,weekly,2012-01-01,41.437155492
_T,FT,weekly,2013-01-01,41.342386418
_T,FT,weekly,2014-01-01,41.236009445
_T,FT,weekly,2015-01-01,41.207718909
_T,FT,weekly,2016-01-01,41.194162616
_T,FT,weekly,2017-01-01,41.062530492
_T,FT,weekly,2018-01-01,41.066842349
_T,FT,weekly,2019-01-01,41.05989744
_T,FT,weekly,2020-01-01,38.059610692
_T,FT,weekly,2021-01-01,39.28740162
_T,FT,weekly,2022-01-01,39.830195761
_T,FT,weekly,2023-01-01,40.054284154
_T,FT,weekly,2024-01-01,39.916220529
_T,FT,weekly,2025-01-01,39.830468424
_T,PT,annual,2010-01-01,829.33708709
_T,PT,annual,2011-01-01,833.71225354
_T,PT,annual,2012-01-01,833.23834624
_T,PT,annual,2013-01-01,827.3697025
_T,PT,annual,2014-01-01,834.96805044
_T,PT,annual,2015-01-01,844.09346365
_T,PT,annual,2016-01-01,842.19736466
_T,PT,annual,2017-01-01,837.00225415
_T,PT,annual,2018-01-01,838.77713203
_T,PT,annual,2019-01-01,841.20955782
_T,PT,annual,2020-01-01,823.76596785
_T,PT,annual,2021-01-01,839.71694038
_T,PT,annual,2022-01-01,860.13058858
_T,PT,annual,2023-01-01,862.82510045
_T,PT,annual,2024-01-01,867.40854857
_T,PT,annual,2025-01-01,866.90820421
_T,PT,volume,2010-01-01,1449141099.1
_T,PT,volume,2011-01-01,1481433353.5
_T,PT,volume,2012-01-01,1541018326.8
_T,PT,volume,2013-01-01,1562314106.2
_T,PT,volume,2014-01-01,1651031549.6
_T,PT,volume,2015-01-01,1714080624.9
_T,PT,volume,2016-01-01,1763905412.9
