indicator,date,value
ch.kof.esi.index.v2018,2024-08-01,97.02414857644882
ch.kof.esi.index.v2018,2024-09-01,98.0543021251731
ch.kof.esi.index.v2018,2024-10-01,96.51522383741197
ch.kof.esi.index.v2018,2024-11-01,95.2614551170482
ch.kof.esi.index.v2018,2024-12-01,96.22630884539916
ch.kof.esi.index.v2018,2025-01-01,95.89685757344964
ch.kof.esi.index.v2018,2025-02-01,96.25984496976004
ch.kof.esi.index.v2018,2025-03-01,94.22608896846424
ch.kof.esi.index.v2018,2025-04-01,94.0832831031802
ch.kof.esi.index.v2018,2025-05-01,93.67476242167676
ch.kof.esi.index.v2018,2025-06-01,95.0572359209686
ch.kof.esi.index.v2018,2025-07-01,95.5655176475754
ch.kof.esi.index.v2018,2025-08-01,92.05026636069522
ch.kof.esi.index.v2018,2025-09-01,92.08783587828118
ch.kof.esi.index.v2018,2025-10-01,92.3781124715382
ch.kof.esi.index.v2018,2025-11-01,94.82133984606128
ch.kof.esi.index.v2018,2025-12-01,93.65486716209936
ch.kof.esi.index.v2018,2026-01-01,97.52112181327529
ch.kof.esi.index.v2018,2026-02-01,96.80451364690384
ch.kof.esi.index.v2018,2026-03-01,97.12924190671816
ch.kof.esi.index.v2018,2026-04-01,91.82855761679902
ch.kof.esi.index.v2018,2026-05-01,92.15837998834486
ch.kof.esi.index.v2018,2026-06-01,91.6535824583659
ch.kof.esi.index.v2018,2026-07-01,95.67344692597206
ch.kof.esi.index.v2018,2026-08-01,98.17368927762024
