base,date,value
1963,2015-01-01,195.2535
1963,2015-02-01,193.8983
1963,2015-03-01,194.1197
1963,2015-04-01,190.9688
1963,2015-05-01,189.4484
1963,2015-06-01,189.3945
1963,2015-07-01,188.9423
1963,2015-08-01,187.8897
1963,2015-09-01,187.8151
1963,2015-10-01,188.3198
1963,2015-11-01,188.8655
1963,2015-12-01,188.3849
1963,2016-01-01,188.1112
1963,2016-02-01,187.1714
1963,2016-03-01,187.3275
1963,2016-04-01,187.7338
1963,2016-05-01,188.558
1963,2016-06-01,188.22
1963,2016-07-01,188.0729
1963,2016-08-01,187.6818
1963,2016-09-01,187.8441
1963,2016-10-01,187.7025
1963,2016-11-01,187.9768
1963,2016-12-01,188.0241
1963,2017-01-01,188.5572
1963,2017-02-01,187.8895
1963,2017-03-01,188.143
1963,2017-04-01,187.8743
1963,2017-05-01,187.2047
1963,2017-06-01,187.0023
1963,2017-07-01,186.9658
1963,2017-08-01,186.8205
1963,2017-09-01,187.5522
1963,2017-10-01,187.8465
1963,2017-11-01,188.7253
1963,2017-12-01,188.9799
1963,2018-01-01,189.5144
1963,2018-02-01,190.1853
1963,2018-03-01,190.2233
1963,2018-04-01,190.6876
1963,2018-05-01,190.1804
1963,2018-06-01,190.4805
1963,2018-07-01,190.8095
1963,2018-08-01,190.9065
1963,2018-09-01,190.4764
1963,2018-10-01,190.4932
1963,2018-11-01,189.9535
1963,2018-12-01,189.7894
1963,2019-01-01,189.087
1963,2019-02-01,189.0108
1963,2019-03-01,189.3136
1963,2019-04-01,189.4723
1963,2019-05-01,189.5306
1963,2019-06-01,189.1093
1963,2019-07-01,188.9853
1963,2019-08-01,188.8362
1963,2019-09-01,188.5471
1963,2019-10-01,188.2226
1963,2019-11-01,187.6291
1963,2019-12-01,187.8663
1963,2020-01-01,188.0261
1963,2020-02-01,186.8262
1963,2020-03-01,186.6654
1963,2020-04-01,185.6337
1963,2020-05-01,184.9676
1963,2020-06-01,185.2712
1963,2020-07-01,185.1996
1963,2020-08-01,184.7362
1963,2020-09-01,184.9928
1963,2020-10-01,185.2674
1963,2020-11-01,185.1203
1963,2020-12-01,185.5738
1963,2021-01-01,185.8544
1963,2021-02-01,185.2368
1963,2021-03-01,185.9122
1963,2021-04-01,187.0002
1963,2021-05-01,187.9751
1963,2021-06-01,188.4305
1963,2021-07-01,189.0351
1963,2021-08-01,190.0255
1963,2021-09-01,190.2777
1963,2021-10-01,191.0759
1963,2021-11-01,191.3905
1963,2021-12-01,191.4109
1963,2022-01-01,192.2931
1963,2022-02-01,192.5054
1963,2022-03-01,193.5497
1963,2022-04-01,195.4432
1963,2022-05-01,196.2536
1963,2022-06-01,196.654
1963,2022-07-01,196.8055
1963,2022-08-01,197.2549
1963,2022-09-01,197.4431
1963,2022-10-01,197.6656
1963,2022-11-01,196.7253
1963,2022-12-01,196.3858
1963,2023-01-01,197.7204
1963,2023-02-01,198.2156
1963,2023-03-01,198.7246
1963,2023-04-01,199.2232
1963,2023-05-01,200.1089
1963,2023-06-01,200.0936
1963,2023-07-01,200.0753
1963,2023-08-01,199.2234
1963,2023-09-01,199.1609
1963,2023-10-01,199.2656
1963,2023-11-01,197.832
1963,2023-12-01,197.4287
1963,2024-01-01,197.4424
1963,2024-02-01,197.5874
1963,2024-03-01,197.7488
1963,2024-04-01,198.5208
1963,2024-05-01,197.5243
1963,2024-06-01,197.6854
1963,2024-07-01,197.6747
1963,2024-08-01,198.7943
1963,2024-09-01,198.7919
1963,2024-10-01,198.2073
1963,2024-11-01,197.1377
1963,2024-12-01,197.2358
1963,2025-01-01,197.3771
1963,2025-02-01,197.9922
1963,2025-03-01,198.2509
1963,2025-04-01,198.6194
1963,2025-05-01,198.2511
1963,2025-06-01,198.2664
1963,2025-07-01,197.669
1963,2025-08-01,196.1587
1963,2025-09-01,196.0841
1963,2025-10-01,195.7178
1963,2025-11-01,194.7562
1963,2025-12-01,194.6356
1963,2026-01-01,194.3416
1963,2026-02-01,193.3841
1963,2026-03-01,193.5432
1963,2026-04-01,193.941
1963,2026-05-01,193.2454
1963,2026-06-01,192.9984
1963,2026-07-01,193.0736
1993,1963-01-01,51.0048
1993,1963-02-01,51.1071
1993,1963-03-01,51.2606
1993,1963-04-01,51.1582
1993,1963-05-01,51.2606
1993,1963-06-01,51.1071
1993,1963-07-01,51.0559
1993,1963-08-01,50.9025
1993,1963-09-01,51.0048
1993,1963-10-01,51.2606
1993,1963-11-01,51.3117
1993,1963-12-01,51.3629
1993,1964-01-01,51.2606
1993,1964-02-01,51.4652
1993,1964-03-01,51.5164
1993,1964-04-01,51.8745
1993,1964-05-01,52.0279
1993,1964-06-01,51.9256
1993,1964-07-01,51.7721
1993,1964-08-01,51.8745
1993,1964-09-01,52.0791
1993,1964-10-01,52.1303
1993,1964-11-01,52.1814
1993,1964-12-01,52.1303
1993,1965-01-01,52.1814
1993,1965-02-01,52.2837
1993,1965-03-01,52.3349
1993,1965-04-01,52.0279
1993,1965-05-01,52.2837
1993,1965-06-01,52.4884
1993,1965-07-01,52.1814
1993,1965-08-01,52.1303
1993,1965-09-01,52.1814
1993,1965-10-01,52.386
1993,1965-11-01,52.7442
1993,1965-12-01,52.8465
1993,1966-01-01,53.3069
1993,1966-02-01,53.4092
1993,1966-03-01,53.5115
1993,1966-04-01,53.5115
1993,1966-05-01,53.665
1993,1966-06-01,53.6138
1993,1966-07-01,53.5627
1993,1966-08-01,53.1023
1993,1966-09-01,53.2046
1993,1966-10-01,53.2046
1993,1966-11-01,53.4604
1993,1966-12-01,53.5627
1993,1967-01-01,53.5115
1993,1967-02-01,53.5115
1993,1967-03-01,53.4604
1993,1967-04-01,53.3581
1993,1967-05-01,53.7162
1993,1967-06-01,53.9208
1993,1967-07-01,53.7673
1993,1967-08-01,53.7162
1993,1967-09-01,53.6138
1993,1967-10-01,53.665
1993,1967-11-01,53.7673
1993,1967-12-01,53.8185
1993,1968-01-01,53.8696
1993,1968-02-01,53.9208
1993,1968-03-01,53.7673
1993,1968-04-01,53.4092
1993,1968-05-01,53.4604
1993,1968-06-01,53.3581
1993,1968-07-01,53.2557
1993,1968-08-01,53.2046
1993,1968-09-01,53.4092
1993,1968-10-01,53.5115
1993,1968-11-01,53.6138
1993,1968-12-01,53.665
1993,1969-01-01,53.9208
1993,1969-02-01,54.0231
1993,1969-03-01,53.8185
1993,1969-04-01,54.0231
1993,1969-05-01,54.2277
1993,1969-06-01,54.3812
1993,1969-07-01,54.3812
1993,1969-08-01,54.3301
1993,1969-09-01,54.5347
1993,1969-10-01,54.7905
1993,1969-11-01,55.0974
1993,1969-12-01,55.3021
1993,1970-01-01,55.4044
1993,1970-02-01,55.7113
1993,1970-03-01,56.2229
1993,1970-04-01,56.2741
1993,1970-05-01,56.5299
1993,1970-06-01,56.4275
1993,1970-07-01,56.3764
1993,1970-08-01,56.2741
1993,1970-09-01,56.4275
1993,1970-10-01,56.6833
1993,1970-11-01,57.0926
1993,1970-12-01,57.1949
1993,1971-01-01,57.3484
1993,1971-02-01,57.6042
1993,1971-03-01,58.3716
1993,1971-04-01,58.525
1993,1971-05-01,58.832
1993,1971-06-01,58.7297
1993,1971-07-01,58.7808
1993,1971-08-01,58.7297
1993,1971-09-01,58.8831
1993,1971-10-01,59.0366
1993,1971-11-01,59.1901
1993,1971-12-01,59.5482
1993,1972-01-01,59.9063
1993,1972-02-01,60.2133
1993,1972-03-01,60.5714
1993,1972-04-01,60.5714
1993,1972-05-01,60.8272
1993,1972-06-01,60.8272
1993,1972-07-01,60.8272
1993,1972-08-01,60.9806
1993,1972-09-01,61.2364
1993,1972-10-01,61.6968
1993,1972-11-01,62.055
1993,1972-12-01,62.3619
1993,1973-01-01,63.4362
1993,1973-02-01,63.999
1993,1973-03-01,65.1756
1993,1973-04-01,65.5439
1993,1973-05-01,65.7895
1993,1973-06-01,65.8407
1993,1973-07-01,66.0453
1993,1973-08-01,66.1476
1993,1973-09-01,66.7615
1993,1973-10-01,67.9893
1993,1973-11-01,68.7055
1993,1973-12-01,69.2171
1993,1974-01-01,70.4449
1993,1974-02-01,71.5192
1993,1974-03-01,74.4864
1993,1974-04-01,74.9468
1993,1974-05-01,75.663
1993,1974-06-01,75.97
1993,1974-07-01,76.3793
1993,1974-08-01,76.3281
1993,1974-09-01,77.0955
1993,1974-10-01,77.4024
1993,1974-11-01,77.7094
1993,1974-12-01,77.4536
1993,1975-01-01,77.4536
1993,1975-02-01,77.7605
1993,1975-03-01,76.9932
1993,1975-04-01,76.942
1993,1975-05-01,76.8397
1993,1975-06-01,76.2258
1993,1975-07-01,76.0212
1993,1975-08-01,75.7654
1993,1975-09-01,75.4584
1993,1975-10-01,75.7142
1993,1975-11-01,75.6119
1993,1975-12-01,75.663
1993,1976-01-01,75.6119
1993,1976-02-01,75.5096
1993,1976-03-01,75.6119
1993,1976-04-01,75.5607
1993,1976-05-01,75.4073
1993,1976-06-01,75.663
1993,1976-07-01,75.7654
1993,1976-08-01,75.5607
1993,1976-09-01,75.5607
1993,1976-10-01,75.3561
1993,1976-11-01,75.4073
1993,1976-12-01,75.663
1993,1977-01-01,75.6119
1993,1977-02-01,75.5607
1993,1977-03-01,75.5607
1993,1977-04-01,75.663
1993,1977-05-01,75.6119
1993,1977-06-01,75.5607
1993,1977-07-01,75.5607
1993,1977-08-01,75.1515
1993,1977-09-01,75.6119
1993,1977-10-01,75.3561
1993,1977-11-01,75.3561
1993,1977-12-01,75.3049
1993,1978-01-01,75.0492
1993,1978-02-01,74.998
1993,1978-03-01,74.7934
1993,1978-04-01,74.6399
1993,1978-05-01,74.7422
1993,1978-06-01,74.7422
1993,1978-07-01,74.5376
1993,1978-08-01,74.1795
1993,1978-09-01,73.8725
1993,1978-10-01,74.026
1993,1978-11-01,74.2306
1993,1978-12-01,74.2818
1993,1979-01-01,74.5376
1993,1979-02-01,74.8957
1993,1979-03-01,75.2026
