origin,sex,date,value
tot,tot,1999-11-01,3.1849076425216443
tot,tot,1999-12-01,3.479386845998964
tot,tot,2000-01-01,3.522705551349264
tot,tot,2000-02-01,3.373296298952206
tot,tot,2000-03-01,3.2638273126985298
tot,tot,2000-04-01,2.882446972011634
tot,tot,2000-05-01,2.729233884743777
tot,tot,2000-06-01,2.9682520302445887
tot,tot,2000-07-01,3.471890732606061
tot,tot,2000-08-01,3.272532794424243
tot,tot,2000-09-01,3.123794412969697
tot,tot,2000-10-01,2.8811081322803735
tot,tot,2000-11-01,3.0618737727803738
tot,tot,2000-12-01,3.0953001199392522
tot,tot,2001-01-01,2.9676942498671703
tot,tot,2001-02-01,2.9676942498671703
tot,tot,2001-03-01,2.859723023265659
tot,tot,2001-04-01,2.7525079475134437
tot,tot,2001-05-01,2.581475294747486
tot,tot,2001-06-01,2.704551437739069
tot,tot,2001-07-01,2.903652419098901
tot,tot,2001-08-01,2.903652419098901
tot,tot,2001-09-01,2.721342796802198
tot,tot,2001-10-01,2.2720752557959725
tot,tot,2001-11-01,2.695746510992401
tot,tot,2001-12-01,2.9407083302116264
tot,tot,2002-01-01,3.28848542306383
tot,tot,2002-02-01,3.28848542306383
tot,tot,2002-03-01,3.1390544928723405
tot,tot,2002-04-01,3.0703598095310345
tot,tot,2002-05-01,3.0703598095310345
tot,tot,2002-06-01,3.298891968937931
tot,tot,2002-07-01,3.790880400635262
tot,tot,2002-08-01,3.790880400635262
tot,tot,2002-09-01,3.777417886729476
tot,tot,2002-10-01,3.5184990673749157
tot,tot,2002-11-01,3.9131142397138996
tot,tot,2002-12-01,4.209534276911184
tot,tot,2003-01-01,4.67076756114218
tot,tot,2003-02-01,4.804326755293839
tot,tot,2003-03-01,4.615400666563981
tot,tot,2003-04-01,4.336241193023041
tot,tot,2003-05-01,4.336241193023041
tot,tot,2003-06-01,4.618354049953917
tot,tot,2003-07-01,5.054320353462641
tot,tot,2003-08-01,5.054320353462641
tot,tot,2003-09-01,4.944240989074718
tot,tot,2003-10-01,4.676121048817765
tot,tot,2003-11-01,4.926694538561356
tot,tot,2003-12-01,5.055733562620879
tot,tot,2004-01-01,5.4317809284553915
tot,tot,2004-02-01,5.30631114557444
tot,tot,2004-03-01,5.07110056897017
tot,tot,2004-04-01,4.610331910917868
tot,tot,2004-05-01,4.490215337486833
tot,tot,2004-06-01,4.832975269595298
tot,tot,2004-07-01,5.313352841618123
tot,tot,2004-08-01,5.458489766699941
tot,tot,2004-09-01,5.193219150681938
tot,tot,2004-10-01,4.760041432607095
tot,tot,2004-11-01,5.021637378336352
tot,tot,2004-12-01,5.194689082056553
tot,tot,2005-01-01,5.5077837074064195
tot,tot,2005-02-01,5.5077837074064195
tot,tot,2005-03-01,5.13307770318716
tot,tot,2005-04-01,4.784763226398255
tot,tot,2005-05-01,4.657436397011589
tot,tot,2005-06-01,4.882068682590156
tot,tot,2005-07-01,5.23586508203991
tot,tot,2005-08-01,5.382745195591312
tot,tot,2005-09-01,5.09756187236878
tot,tot,2005-10-01,4.800132218567567
tot,tot,2005-11-01,4.800132218567567
tot,tot,2005-12-01,4.944797673864865
tot,tot,2006-01-01,5.210400283231526
tot,tot,2006-02-01,5.078646379231527
tot,tot,2006-03-01,4.730898393536946
tot,tot,2006-04-01,4.4288069874178975
tot,tot,2006-05-01,4.17465919916174
tot,tot,2006-06-01,4.294534067420361
tot,tot,2006-07-01,4.752408524221631
tot,tot,2006-08-01,4.752408524221631
tot,tot,2006-09-01,4.557191044556738
tot,tot,2006-10-01,4.225695780737874
tot,tot,2006-11-01,4.225695780737874
tot,tot,2006-12-01,4.577921365524253
tot,tot,2007-01-01,4.807560876987931
tot,tot,2007-02-01,4.664405337070833
tot,tot,2007-03-01,4.342543387941237
tot,tot,2007-04-01,4.086497722633706
tot,tot,2007-05-01,3.8049267587055633
tot,tot,2007-06-01,3.864163262660732
tot,tot,2007-07-01,4.294136392252152
tot,tot,2007-08-01,4.462186471646889
tot,tot,2007-09-01,4.01548317010096
tot,tot,2007-10-01,3.6919316595838323
tot,tot,2007-11-01,3.8376894812064735
tot,tot,2007-12-01,4.058125678209695
tot,tot,2008-01-01,4.306521379399901
tot,tot,2008-02-01,4.155429388107219
tot,tot,2008-03-01,3.9275925184928795
tot,tot,2008-04-01,3.749123807865106
tot,tot,2008-05-01,3.4587467296369176
tot,tot,2008-06-01,3.608675626497977
tot,tot,2008-07-01,4.005727086355867
tot,tot,2008-08-01,4.1765780112069315
tot,tot,2008-09-01,3.862685104437203
tot,tot,2008-10-01,3.5116394246237053
tot,tot,2008-11-01,3.801025789864212
tot,tot,2008-12-01,4.118096212512082
tot,tot,2009-01-01,4.479066058363636
tot,tot,2009-02-01,4.615958632636364
tot,tot,2009-03-01,4.457340162
tot,tot,2009-04-01,4.360705524799999
tot,tot,2009-05-01,4.233143448799999
tot,tot,2009-06-01,4.6726069304
tot,tot,2009-07-01,5.151112253056141
tot,tot,2009-08-01,5.2889154029228065
tot,tot,2009-09-01,5.062826704021052
tot,tot,2009-10-01,4.567218888119388
tot,tot,2009-11-01,4.805502946953396
tot,tot,2009-12-01,5.341318797927215
tot,tot,2010-01-01,5.389114555103988
tot,tot,2010-02-01,5.486542913228673
tot,tot,2010-03-01,5.309834218087317
tot,tot,2010-04-01,4.833326854476597
tot,tot,2010-05-01,4.555969287791119
tot,tot,2010-06-01,4.534624564504652
tot,tot,2010-07-01,4.897909844183285
tot,tot,2010-08-01,5.020623847514717
tot,tot,2010-09-01,4.847061679532154
tot,tot,2010-10-01,4.307294230921441
tot,tot,2010-11-01,4.171970775196754
tot,tot,2010-12-01,4.35066500526901
tot,tot,2011-01-01,4.716782657671086
tot,tot,2011-02-01,4.749580372570496
tot,tot,2011-03-01,4.576718754168063
tot,tot,2011-04-01,4.138630427707751
tot,tot,2011-05-01,3.810550620117386
tot,tot,2011-06-01,3.8622414763063078
tot,tot,2011-07-01,4.440538893325599
tot,tot,2011-08-01,4.714563748969618
tot,tot,2011-09-01,4.665957428663991
tot,tot,2011-10-01,4.342509294375704
tot,tot,2011-11-01,4.367666460258992
tot,tot,2011-12-01,4.5235292165536345
tot,tot,2012-01-01,4.605532843907367
tot,tot,2012-02-01,4.594913591191479
tot,tot,2012-03-01,4.460033612115232
tot,tot,2012-04-01,4.162586327453835
tot,tot,2012-05-01,3.996670653210762
tot,tot,2012-06-01,4.034186717621019
tot,tot,2012-07-01,4.477380565474512
tot,tot,2012-08-01,4.7431048077096865
tot,tot,2012-09-01,4.745358500414134
tot,tot,2012-10-01,4.537870577323195
tot,tot,2012-11-01,4.6457161112466965
tot,tot,2012-12-01,4.878969462188742
tot,tot,2013-01-01,5.154932063130483
tot,tot,2013-02-01,5.221082450661416
tot,tot,2013-03-01,5.036627171898736
