D0,D1,D2,D3,date,value
AV1,KC5A,H,F,2018-09-01,180289
AV1,KC5A,H,F,2018-10-01,181359
AV1,KC5A,H,F,2018-11-01,182989
AV1,KC5A,H,F,2018-12-01,184160
AV1,KC5A,H,F,2019-01-01,185427
AV1,KC5A,H,F,2019-02-01,186420
AV1,KC5A,H,F,2019-03-01,186868
AV1,KC5A,H,F,2019-04-01,188504
AV1,KC5A,H,F,2019-05-01,189754
AV1,KC5A,H,F,2019-06-01,189907
AV1,KC5A,H,F,2019-07-01,190660
AV1,KC5A,H,F,2019-08-01,191361
AV1,KC5A,H,F,2019-09-01,191552
AV1,KC5A,H,F,2019-10-01,192744
AV1,KC5A,H,F,2019-11-01,193339
AV1,KC5A,H,F,2019-12-01,193610
AV1,KC5A,H,F,2020-01-01,194468
AV1,KC5A,H,F,2020-02-01,194823
AV1,KC5A,H,F,2020-03-01,196319
AV1,KC5A,H,F,2020-04-01,197175
AV1,KC5A,H,F,2020-05-01,198141
AV1,KC5A,H,F,2020-06-01,198413
AV1,KC5A,H,F,2020-07-01,199189
AV1,KC5A,H,F,2020-08-01,199987
AV1,KC5A,H,F,2020-09-01,200860
AV1,KC5A,H,F,2020-10-01,200198
AV1,KC5A,H,F,2020-11-01,200799
AV1,KC5A,H,F,2020-12-01,202118
AV1,KC5A,H,F,2021-01-01,203956
AV1,KC5A,H,F,2021-02-01,204745
AV1,KC5A,H,F,2021-03-01,205925
AV1,KC5A,H,F,2021-04-01,207642
AV1,KC5A,H,F,2021-05-01,208690
AV1,KC5A,H,F,2021-06-01,209170
AV1,KC5A,H,F,2021-07-01,210544
AV1,KC5A,H,F,2021-08-01,212047
AV1,KC5A,H,F,2021-09-01,211870
AV1,KC5A,H,F,2021-10-01,212651
AV1,KC5A,H,F,2021-11-01,213757
AV1,KC5A,H,F,2021-12-01,214309
AV1,KC5A,H,F,2022-01-01,215636
AV1,KC5A,H,F,2022-02-01,215993
AV1,KC5A,H,F,2022-03-01,217299
AV1,KC5A,H,F,2022-04-01,218721
AV1,KC5A,H,F,2022-05-01,219734
AV1,KC5A,H,F,2022-06-01,219867
AV1,KC5A,H,F,2022-07-01,221369
AV1,KC5A,H,F,2022-08-01,222221
AV1,KC5A,H,F,2022-09-01,223078
AV1,KC5A,H,F,2022-10-01,224351
AV1,KC5A,H,F,2022-11-01,225840
AV1,KC5A,H,F,2022-12-01,227869
AV1,KC5A,H,F,2023-01-01,229543
AV1,KC5A,H,F,2023-02-01,230516
AV1,KC5A,H,F,2023-03-01,231479
AV1,KC5A,H,F,2023-04-01,232499
AV1,KC5A,H,F,2023-05-01,233936
AV1,KC5A,H,F,2023-06-01,233861
AV1,KC5A,H,F,2023-07-01,234762
AV1,KC5A,H,F,2023-08-01,235883
AV1,KC5A,H,F,2023-09-01,237272
AV1,KC5A,H,F,2023-10-01,238200
